name,slug,category_slug,price,discount_percentage,stock,requires_prescription,is_active,unit,kemasan,produsen,deskripsi,komposisi,manfaat,dosis,efek_samping,lainnya
"Amoxicillin 500mg",amoxicillin-500mg,obat-keras,25000.00,,100,1,1,strip,,,"Antibiotik untuk mengobati infeksi bakteri. Harus dikonsumsi sesuai resep dokter.",,,,,
"Captopril 25mg",captopril-25mg,obat-keras,15000.00,,100,1,1,strip,,,"Obat untuk menurunkan tekanan darah tinggi (hipertensi). Harus dikonsumsi dengan resep dokter.",,,,,
"Paracetamol 500mg",paracetamol-500mg,obat-bebas-terbatas,8000.00,13,100,0,1,strip,,,"Obat penurun demam dan pereda nyeri. Dapat dibeli tanpa resep dengan batasan dosis.",,,,,
"Ibuprofen 400mg",ibuprofen-400mg,obat-bebas-terbatas,12000.00,,100,0,1,strip,,,"Anti-inflamasi non-steroid untuk meredakan nyeri dan peradangan.",,,,,
"Antangin JRG",antangin-jrg,obat-bebas,3500.00,,100,0,1,sachet,,,"Obat herbal untuk mengatasi masuk angin, mual, dan perut kembung.",,,,,
"Tolak Angin",tolak-angin,obat-bebas,2500.00,,100,0,1,sachet,,,"Obat tradisional untuk mencegah dan mengatasi masuk angin.",,,,,
"Jamu Kunyit Asam",jamu-kunyit-asam,jamu-herbal,5000.00,,100,0,1,sachet,,,"Jamu tradisional untuk kesehatan pencernaan dan detoksifikasi tubuh.",,,,,
"Susu Formula Bayi 0-6 Bulan",susu-formula-bayi-0-6-bulan,kebutuhan-bayi-ibu,85000.00,6,100,0,1,box,,,"Susu formula untuk bayi usia 0-6 bulan dengan nutrisi lengkap.",,,,,
"Minyak Telon Bayi",minyak-telon-bayi,kebutuhan-bayi-ibu,15000.00,,100,0,1,botol,,,"Minyak telon untuk menghangatkan tubuh bayi dan mencegah masuk angin.",,,,,
"Vitamin C 1000mg",vitamin-c-1000mg,suplemen-vitamin,45000.00,11,100,0,1,botol,,,"Suplemen vitamin C untuk meningkatkan daya tahan tubuh.",,,,,
"Multivitamin Dewasa",multivitamin-dewasa,suplemen-vitamin,65000.00,,100,0,1,botol,,,"Suplemen multivitamin lengkap untuk dewasa.",,,,,
"Termometer Digital",termometer-digital,alat-kesehatan,35000.00,,100,0,1,pcs,,,"Termometer digital untuk mengukur suhu tubuh dengan akurat.",,,,,
"Tensimeter Digital",tensimeter-digital,alat-kesehatan,250000.00,8,100,0,1,pcs,,,"Alat pengukur tekanan darah digital untuk monitoring kesehatan.",,,,,
"Perban Elastis 10cm",perban-elastis-10cm,perban-pertolongan-pertama,12000.00,,100,0,1,pcs,,,"Perban elastis untuk membalut luka atau cedera.",,,,,
"Plester Luka Waterproof",plester-luka-waterproof,perban-pertolongan-pertama,8000.00,,100,0,1,box,,,"Plester luka tahan air untuk melindungi luka dari air dan kotoran.",,,,,
"Metformin 500mg",metformin-500mg,obat-keras,22000.00,,180,1,1,strip,,,"Antidiabetik untuk mengontrol kadar gula darah. Dengan resep dokter.",,,,,
"Cefadroxil 500mg",cefadroxil-500mg,obat-keras,40000.00,45,999,1,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Cefadroxil 500mg merupakan produk kategori obat keras yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
"Simvastatin 20mg",simvastatin-20mg,obat-keras,26000.00,60,160,1,1,strip,,,"Menurunkan kolesterol LDL dan trigliserida. Perlu resep dokter.",,,,,
"Clopidogrel 75mg",clopidogrel-75mg,obat-keras,40000.00,30,999,1,1,pcs,"Kemasan standar sesuai produk","PT Kimia Farma Tbk","Clopidogrel 75mg merupakan produk kategori obat keras yang digunakan sesuai indikasi penggunaannya.","Mengandung bahan aktif sesuai label produk","Membantu menjaga kesehatan dan meredakan gejala umum","Gunakan sesuai petunjuk dokter atau aturan pakai pada kemasan","Efek samping jarang terjadi, bisa termasuk mual atau reaksi alergi ringan","Simpan di tempat sejuk dan kering, jauhkan dari jangkauan anak-anak"
